"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A-% rCV","FSC-H-% rCV","FSC-W-% rCV","SSC-A-% rCV","SSC-H-% rCV","SSC-W-% rCV","R660-A-% rCV","R660-H-% rCV","R780-A-% rCV","R780-H-% rCV","B530-A-% rCV","B530-H-% rCV","B695-A-% rCV","B695-H-% rCV","V450-A-% rCV","V450-H-% rCV","V530-A-% rCV","V530-H-% rCV","V710-A-% rCV","V710-H-% rCV","Y590-A-% rCV","Y590-H-% rCV","Y610-A-% rCV","Y610-H-% rCV","Y670-A-% rCV","Y670-H-% rCV","Y780-A-% rCV","Y780-H-% rCV","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"23-DEC-2020",2020-12-23 09:03:37,"2020-12-23","9H 3M 37S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,5.81,1.62,5.87,6.3,1.22,6.91,4.88,NA,7.21,NA,7.71,NA,9.08,NA,11.59,NA,10.98,NA,9.62,NA,8.37,NA,8.96,NA,10.11,NA,13.76,NA,60841.55859375,66713.875,59590,103546.171875,65912.515625,103269,9501.2802734375,NA,10818.7998046875,NA,9846.900390625,NA,9487.7998046875,NA,7995.77978515625,NA,7781.580078125,NA,8886.240234375,NA,10171.140625,NA,10268.1298828125,NA,10783.580078125,NA,10308.390625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-DEC-2020",2020-12-22 09:34:02,"2020-12-22","9H 34M 2S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,6.26,1.59,6.11,6.14,1.22,6.88,4.72,NA,7.37,NA,7.79,NA,9.25,NA,13.1,NA,12.88,NA,9.98,NA,8.53,NA,9.05,NA,10.52,NA,14.21,NA,61176.95703125,66677.4296875,59982,103733.28125,66107.1328125,103225,9583.83984375,NA,11089.7001953125,NA,9798.3896484375,NA,9552.689453125,NA,7964.15966796875,NA,7746.89990234375,NA,8819.939453125,NA,10226.0400390625,NA,10334.009765625,NA,10898.8701171875,NA,10615.830078125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-DEC-2020",2020-12-21 09:38:43,"2020-12-21","9H 38M 43S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,6.89,1.76,6.75,6.57,1.4,7.39,5.14,NA,7.72,NA,8.27,NA,9.79,NA,13.55,NA,12.34,NA,10.7,NA,8.65,NA,8.93,NA,10.32,NA,14.53,NA,61795.49609375,66844.515625,60432,103523.4921875,66013.0234375,103281,9127.1796875,NA,10721.6201171875,NA,9852.5703125,NA,9634.58984375,NA,8371.1396484375,NA,8111.0400390625,NA,8990.2802734375,NA,10223.6005859375,NA,10369.390625,NA,10878.1298828125,NA,10877.5205078125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2020",2020-12-18 09:32:31,"2020-12-18","9H 32M 31S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,15.21,3.13,16.09,12.35,2.47,14.05,9.56,NA,13.21,NA,13.72,NA,16.62,NA,22.56,NA,21.9,NA,17.11,NA,15.13,NA,15.56,NA,18.78,NA,27.49,NA,60203.51953125,66427.80859375,58714,100586.74609375,65661.1171875,99718.5,8829.18994140625,NA,10101.1303710938,NA,9727.51513671875,NA,9247.1396484375,NA,7834.61987304688,NA,7632.14965820312,NA,8769.9599609375,NA,9848.14501953125,NA,9992.10498046875,NA,10399.5854492188,NA,9813.68017578125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2020",2020-12-17 12:33:51,"2020-12-17","12H 33M 51S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,4.8,1.54,5.16,5.02,1.31,6.17,4.21,NA,6.47,NA,5.95,NA,7.31,NA,10.57,NA,9.74,NA,9.42,NA,5.04,NA,5.54,NA,6.81,NA,10.33,NA,61764.296875,65625.2421875,61612,104892.4765625,64756.171875,106875,8745.33984375,NA,10115.3203125,NA,10054.169921875,NA,9774.4501953125,NA,8667.9599609375,NA,8335.439453125,NA,9071.8798828125,NA,10011.9306640625,NA,10184.560546875,NA,10684.150390625,NA,10448.6904296875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2020",2020-12-17 09:17:53,"2020-12-17","9H 17M 53S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,530,530,430,430,580,580,650,650,570,570,462,462,530,530,386,386,443,443,430,430,486,486,7.4,1.69,7.5,6.88,1.35,7.78,5.14,5.86,7.45,7.76,8.67,9.27,10,10.56,13.54,13.55,13.33,12.61,10.99,10.53,9.17,10.11,9.92,10.47,11.57,11.05,15.33,15.62,57452.0859375,65628.8046875,57241,97390.796875,64605.431640625,99100.5,9495.8505859375,9434,9684.67529296875,9513,8012.87475585938,8052.5,9064.25,9026,7543.50024414062,7566,7637.66015625,7663.5,9733.25537109375,8866,10016.4995117188,10039,9023.2998046875,9038.5,10109.1245117188,10187,10180.9497070312,10472.5,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2020",2020-12-16 12:14:01,"2020-12-16","12H 14M 1S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,9.61,1.99,9.27,9.56,1.98,9.53,6.13,NA,8.44,NA,12.03,NA,13.71,NA,16.5,NA,15.39,NA,12.61,NA,13.29,NA,13.99,NA,15.24,NA,20.24,NA,58996.078125,65203.64453125,59062,93372.9296875,60833.76171875,100371,9011.9404296875,NA,10000.080078125,NA,8904.419921875,NA,8467.830078125,NA,8065.1396484375,NA,7889.69970703125,NA,8732.2197265625,NA,9501.3603515625,NA,9519.0498046875,NA,9594.6904296875,NA,8658.33984375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2020",2020-12-14 09:38:01,"2020-12-14","9H 38M 1S","Unknown","FACSAriaII","1","Administrator",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,8.95,1.95,8.81,7.62,1.51,8.42,5.36,NA,8.15,NA,9.64,NA,10.99,NA,13.15,NA,12.91,NA,10.88,NA,11.14,NA,11.96,NA,13.61,NA,17.77,NA,60814.2578125,66243.2265625,60081,101722.953125,65638.546875,101709,9374.8603515625,NA,11192.0400390625,NA,9724.6796875,NA,9443.0703125,NA,8467.01953125,NA,8258.939453125,NA,9143.2802734375,NA,10075.98046875,NA,10193.7099609375,NA,10724.41015625,NA,10718.919921875,NA,-61.18,0,27.51,-25.13,0.86,0.63,1.02,0.61
"11-DEC-2020",2020-12-11 08:41:42,"2020-12-11","8H 41M 42S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,6.97,1.76,6.92,7.7,1.34,8.22,5.29,NA,8.05,NA,8.9,NA,10.15,NA,13.95,NA,13.3,NA,11.1,NA,10.23,NA,10.79,NA,12.12,NA,15.94,NA,61995.95703125,66762.4453125,60816,103242.5078125,65897.8828125,102914,8918.2001953125,NA,8251.7001953125,NA,10023.9296875,NA,9026.009765625,NA,7958.0400390625,NA,7798.919921875,NA,8406.83984375,NA,10321.2001953125,NA,10334.6201171875,NA,10296.1904296875,NA,8072.13037109375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEC-2020",2020-12-10 10:47:14,"2020-12-10","10H 47M 14S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,525,NA,435,NA,590,NA,650,NA,573,NA,462,NA,524,NA,386,NA,450,NA,434,NA,490,NA,4.87,1.73,5.1,5.29,1.4,6.43,4.38,NA,6.57,NA,6.48,NA,7.56,NA,11.17,NA,10.58,NA,9.97,NA,5.06,NA,5.56,NA,6.88,NA,10.6,NA,62012.3359375,65048.1875,62271,103958.1875,64113.01953125,106907,9309.5,NA,10612.400390625,NA,10003.1396484375,NA,9671.1298828125,NA,8462.939453125,NA,8187.5400390625,NA,8842.3798828125,NA,10325.470703125,NA,10560.9306640625,NA,11004.400390625,NA,10695.1298828125,NA,NA,NA,NA,NA,NA,NA,NA,NA
