"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"23-DEC-2019",2019-12-23 08:35:42,"2019-12-23","8H 35M 42S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,92332.7109375,68397.375,88323,127042.7421875,68883.109375,121355,6317.2197265625,6199,6032.419921875,5875,7974.1201171875,7536,7687.0205078125,7225,3599.64013671875,3783,3126.419921875,3274,5003.4599609375,4758,5955.2998046875,5727,5760.2998046875,5560,5309.19970703125,5163,2801.5,2770,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2019",2019-12-20 08:38:13,"2019-12-20","8H 38M 13S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90661.6796875,67566.1953125,87749,126006.546875,68005.1640625,122004,6537.0498046875,6447,6200.6298828125,6078,7850.7001953125,7528,7751.04052734375,7402,3545.18994140625,3763,3075.92993164062,3256,5057.91015625,4840,5816.849609375,5703,5686.849609375,5568,5292.94970703125,5224,2845.69995117188,2853,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2019",2019-12-19 12:27:53,"2019-12-19","12H 27M 53S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,91117.578125,67201.2578125,88907,124938.0078125,66617.2890625,123576,5954.9599609375,NA,6275.27978515625,NA,7413.1201171875,NA,8003.8203125,NA,4050.259765625,NA,3770.41967773438,NA,5574.53955078125,NA,5928.31982421875,NA,10906.240234375,NA,5102.7197265625,NA,2904.9599609375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2019",2019-12-18 09:31:51,"2019-12-18","9H 31M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,87744.05859375,66971.78125,85827,124069.77734375,67297.921875,121250.5,6489.43481445312,6451,6290.52001953125,6206,7595.6103515625,7346,7739.8203125,7479,3967.919921875,4251.5,3437.28002929688,3682,5481.6298828125,5310.5,5830.82495117188,5766,5775.89990234375,5695,5398.57495117188,5332,3075.47485351562,3133.5,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2019",2019-12-17 09:35:39,"2019-12-17","9H 35M 39S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,88965.5390625,67040.71875,86834,124834.3828125,67441.890625,121770,6426.68994140625,6378,6375.9599609375,6287,7662.60009765625,7409,7797.240234375,7508,3954.06005859375,4245,3420.44995117188,3662,5458.85986328125,5299,5787.599609375,5703,5749.89990234375,5658,5358.599609375,5303,3088.7998046875,3146,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2019",2019-12-16 09:41:43,"2019-12-16","9H 41M 43S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,88500.6015625,66720.36328125,86892.5,122688.39453125,67062.60546875,120148,6526.81494140625,6508,6575.31982421875,6488,7581.75024414062,7382.5,7848.060546875,7599,4044.15014648438,4349.5,3479.85009765625,3731,5594.490234375,5420,5721.94970703125,5664,5730.72485351562,5666,5394.349609375,5347,3204.5,3274,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2019",2019-12-13 10:23:40,"2019-12-13","10H 23M 40S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90911.1640625,67473.7265625,88344,127168.8046875,67646.15625,123731,6513.90966796875,6413,6071.580078125,5899,7904.8203125,7645,7869.18017578125,7560,3850.11010742188,4099,3336.30004882812,3543,5303.43017578125,5084,5619.89990234375,5505,5639.39990234375,5527,5233.7998046875,5144,2810.59985351562,2826,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2019",2019-12-12 09:31:06,"2019-12-12","9H 31M 6S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,89498.1171875,67039.3125,87392,124821.84375,67375.421875,121818.5,6450.7197265625,6399,6031.97485351562,5934,7762.26025390625,7509.5,7754.34033203125,7472.5,3819.419921875,4131,3306.60009765625,3565.5,5342.04028320312,5210,5690.75,5615,5692.69970703125,5611,5267.599609375,5207,2884.69995117188,2934.5,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2019",2019-12-11 11:29:36,"2019-12-11","11H 29M 36S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,88872.390625,66221.5390625,87879,125931.96875,66305.1640625,124587,6175.7099609375,6166,6011.94970703125,5947,7792.6201171875,7664,7799.88037109375,7646,4145.1298828125,4498,3560.0400390625,3854,5469.75,5319,5590,5566,5569.849609375,5555,5229.25,5243,2918.5,3014,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2019",2019-12-11 09:00:21,"2019-12-11","9H 0M 21S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,91548.078125,68017.11328125,88046.5,125708.8828125,67416.109375,122673,6538.39990234375,NA,7261.759765625,NA,7479.7802734375,NA,8155.29028320312,NA,4335.39990234375,NA,4051.31982421875,NA,6050.4794921875,NA,6020.15991210938,NA,10976.3198242188,NA,5224.9599609375,NA,3053.43994140625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEC-2019",2019-12-10 09:26:24,"2019-12-10","9H 26M 24S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90306.08984375,67233.3359375,88008,126099.2734375,67466.13671875,122900.5,6190.83984375,6156,6319.89013671875,6200,7781.400390625,7520,7975.77026367188,7679,4059.98999023438,4349,3507.57006835938,3750,5644.97998046875,5417,5903.2998046875,5810.5,5795.39990234375,5710,5485.349609375,5429,3241.87487792969,3293,NA,NA,NA,NA,NA,NA,NA,NA
"09-DEC-2019",2019-12-09 12:27:36,"2019-12-09","12H 27M 36S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90772.24609375,66491.70703125,89385.5,127798.7734375,66543.1953125,126161,6197.9599609375,6224,6225.5498046875,6164,7830.240234375,7682,8040.7802734375,7851,4062.46496582031,4483,3479.35510253906,3826,5562.31494140625,5504,5786.94970703125,5763,5688.47485351562,5663,5370.94970703125,5378,3186.2998046875,3281,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2019",2019-12-06 08:32:51,"2019-12-06","8H 32M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,92256.5703125,67488.6015625,89436,127178.703125,67849.5703125,123211,6405.330078125,6294,6314.5498046875,6145,7871.8203125,7589,7923.30029296875,7592,3748.14013671875,3923,3261.06005859375,3414,5355.89990234375,5065,5928.64990234375,5793,5767.44970703125,5640,5456.099609375,5356,3027.69995117188,3032,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2019",2019-12-05 10:23:52,"2019-12-05","10H 23M 52S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,92327.8984375,68576.48046875,88126,126596.9140625,67922.76953125,122577,6203.1201171875,NA,6734.64013671875,NA,7471.2001953125,NA,8080.38037109375,NA,4283.4599609375,NA,4011.03979492188,NA,5881.40966796875,NA,6036.7998046875,NA,10986.240234375,NA,5211.52001953125,NA,3024.31994628906,NA,NA,NA,NA,NA,NA,NA,NA,NA
